class,threshold,n_gt,n_pred,n_matched,precision,recall,f1
arrow,0.25,2072,5022,463,0.0922,0.2235,0.1305
arrow,0.3,2072,2581,281,0.1089,0.1356,0.1208
arrow,0.35,2072,1409,211,0.1498,0.1018,0.1212
arrow,0.4,2072,820,154,0.1878,0.0743,0.1065
arrow,0.45,2072,381,98,0.2572,0.0473,0.0799
freeform_bbox,0.25,4124,2955,965,0.3266,0.234,0.2726
freeform_bbox,0.3,4124,1323,705,0.5329,0.171,0.2589
freeform_bbox,0.35,4124,647,442,0.6832,0.1072,0.1853
freeform_bbox,0.4,4124,295,236,0.8,0.0572,0.1068
freeform_bbox,0.45,4124,94,91,0.9681,0.0221,0.0431
number_letter,0.25,2072,12187,329,0.027,0.1588,0.0461
number_letter,0.3,2072,3147,128,0.0407,0.0618,0.0491
number_letter,0.35,2072,485,48,0.099,0.0232,0.0375
number_letter,0.4,2072,148,25,0.1689,0.0121,0.0225
number_letter,0.45,2072,61,13,0.2131,0.0063,0.0122
